Index,Price,Shipping,Total_Price,Title,ItemID,Condition
38,1862.82,300.0,2162.8199999999997,Used Engine Assembly fits: 2012  Volvo 60 series S60 T5 5 cylinder,v1|357308421790|0,Used
39,1877.04,300.0,2177.04,Engine S60 T5 5 Cylinder 2.5L VIN 62 Turbo Fits 12 VOLVO 60 SERIES 238836,v1|286640392642|0,Used
40,2194.2,0.0,2194.2,2012 Volvo 60 Series 2.5L Engine Motor OEM 124K Miles - LKQ420486420,v1|317030270498|0,Used
41,2194.2,0.0,2194.2,2012 Volvo 60 Series 2.5L Engine Motor OEM 115K Miles - LKQ426002821,v1|197492367177|0,Used
42,2194.2,0.0,2194.2,2012 Volvo 60 Series 2.5L Engine Motor OEM 130K Miles - LKQ423717005,v1|365669006320|0,Used
43,2215.2,0.0,2215.2,Used Engine Assembly fits: 2012  Volvo 60 series S60 T5 5 cylinder,v1|396894338025|0,Used
44,2222.82,0.0,2222.82,2012 Volvo 60 Series 2.5L Engine Motor 5cyl OEM 148K Miles - LKQ404193640,v1|317092510634|0,Used
45,2262.0,0.0,2262.0,Engine S60 T5 5 Cylinder 2.5L VIN 62 Turbo Fits 12 VOLVO 60 SERIES 492209,v1|357273840474|0,Used
46,2284.3,0.0,2284.3,2012 Volvo 60 Series 2.5L Engine Motor OEM 153K Miles - LKQ406984073,v1|197403254299|0,Used
47,2384.99,0.0,2384.99,Engine XC70 3.0L VIN 90 4th And 5th Digit Fits 08-14 VOLVO 70 SERIES 1607227,v1|317072032821|0,Used
48,2399.99,0.0,2399.99,Engine S60 T5 5 Cylinder 2.5L VIN 62 Turbo Fits 12 VOLVO 60 SERIES 6647845,v1|136049050529|0,Used
49,2000.0,400.0,2400.0,"2012 VOLVO S60 ENGINE MOTOR 2.5 NO CORE CHARGE 159,288 MILES",v1|226308095404|0,Used
50,2423.16,0.0,2423.16,2012 Volvo 60 Series 2.5L Engine Motor 4cyl OEM 136K Miles - LKQ407359177,v1|197442127737|0,Used
